Bandit,Reward,Algorithm
1,1.543743,Epsilon-Greedy
1,0.38457,Epsilon-Greedy
1,0.905379,Epsilon-Greedy
1,0.071172,Epsilon-Greedy
3,2.530526,Epsilon-Greedy
3,3.54256,Epsilon-Greedy
3,3.241962,Epsilon-Greedy
3,1.08672,Epsilon-Greedy
3,1.987169,Epsilon-Greedy
3,3.314247,Epsilon-Greedy
3,4.465649,Epsilon-Greedy
3,2.774224,Epsilon-Greedy
3,2.455617,Epsilon-Greedy
3,3.110923,Epsilon-Greedy
3,2.399361,Epsilon-Greedy
3,2.708306,Epsilon-Greedy
3,2.986503,Epsilon-Greedy
2,0.942289,Epsilon-Greedy
3,3.566113,Epsilon-Greedy
3,2.295547,Epsilon-Greedy
3,2.538534,Epsilon-Greedy
3,3.066657,Epsilon-Greedy
3,3.698399,Epsilon-Greedy
3,2.828371,Epsilon-Greedy
3,3.785532,Epsilon-Greedy
3,5.65601,Epsilon-Greedy
3,3.263486,Epsilon-Greedy
3,4.641771,Epsilon-Greedy
3,1.490043,Epsilon-Greedy
3,3.721502,Epsilon-Greedy
3,2.956463,Epsilon-Greedy
3,2.724699,Epsilon-Greedy
3,3.930584,Epsilon-Greedy
3,3.677767,Epsilon-Greedy
3,3.662285,Epsilon-Greedy
3,3.241122,Epsilon-Greedy
3,2.754252,Epsilon-Greedy
3,2.230332,Epsilon-Greedy
3,1.425845,Epsilon-Greedy
3,3.637953,Epsilon-Greedy
3,2.066237,Epsilon-Greedy
3,3.784208,Epsilon-Greedy
3,2.385124,Epsilon-Greedy
3,3.332892,Epsilon-Greedy
3,2.940183,Epsilon-Greedy
3,3.961174,Epsilon-Greedy
3,3.29765,Epsilon-Greedy
3,1.971884,Epsilon-Greedy
3,3.135754,Epsilon-Greedy
3,3.60809,Epsilon-Greedy
3,1.533032,Epsilon-Greedy
3,3.892629,Epsilon-Greedy
3,2.585235,Epsilon-Greedy
3,1.601259,Epsilon-Greedy
3,2.672375,Epsilon-Greedy
3,2.138402,Epsilon-Greedy
3,1.65061,Epsilon-Greedy
3,1.980927,Epsilon-Greedy
3,4.945116,Epsilon-Greedy
3,2.846664,Epsilon-Greedy
3,2.516877,Epsilon-Greedy
3,2.430172,Epsilon-Greedy
3,2.984517,Epsilon-Greedy
3,2.972624,Epsilon-Greedy
3,2.241673,Epsilon-Greedy
3,3.457416,Epsilon-Greedy
3,2.935622,Epsilon-Greedy
3,3.344902,Epsilon-Greedy
3,4.433515,Epsilon-Greedy
3,4.065794,Epsilon-Greedy
3,5.158729,Epsilon-Greedy
3,4.231778,Epsilon-Greedy
3,3.727833,Epsilon-Greedy
3,2.380931,Epsilon-Greedy
3,4.21805,Epsilon-Greedy
3,2.610542,Epsilon-Greedy
3,4.93384,Epsilon-Greedy
3,3.080971,Epsilon-Greedy
3,3.718128,Epsilon-Greedy
3,2.048528,Epsilon-Greedy
3,3.428013,Epsilon-Greedy
3,0.530301,Epsilon-Greedy
3,2.162419,Epsilon-Greedy
3,3.677186,Epsilon-Greedy
3,2.374384,Epsilon-Greedy
3,2.477539,Epsilon-Greedy
3,3.062825,Epsilon-Greedy
3,3.501596,Epsilon-Greedy
3,3.964811,Epsilon-Greedy
3,1.935169,Epsilon-Greedy
3,3.920667,Epsilon-Greedy
3,2.773278,Epsilon-Greedy
3,3.653048,Epsilon-Greedy
3,4.102687,Epsilon-Greedy
3,2.014618,Epsilon-Greedy
3,1.90606,Epsilon-Greedy
3,2.995143,Epsilon-Greedy
3,2.616677,Epsilon-Greedy
3,3.867229,Epsilon-Greedy
3,3.958414,Epsilon-Greedy
3,5.273345,Epsilon-Greedy
3,3.146975,Epsilon-Greedy
3,2.988557,Epsilon-Greedy
3,3.413354,Epsilon-Greedy
3,4.300345,Epsilon-Greedy
3,1.656476,Epsilon-Greedy
3,2.995304,Epsilon-Greedy
3,1.429188,Epsilon-Greedy
3,1.216749,Epsilon-Greedy
3,2.756866,Epsilon-Greedy
3,2.872395,Epsilon-Greedy
3,3.341591,Epsilon-Greedy
3,2.050481,Epsilon-Greedy
3,2.403103,Epsilon-Greedy
3,1.658597,Epsilon-Greedy
3,1.378305,Epsilon-Greedy
3,1.85228,Epsilon-Greedy
3,4.389603,Epsilon-Greedy
3,3.882838,Epsilon-Greedy
3,2.550696,Epsilon-Greedy
3,1.198112,Epsilon-Greedy
3,3.467717,Epsilon-Greedy
3,2.267049,Epsilon-Greedy
4,4.195346,Epsilon-Greedy
4,5.330881,Epsilon-Greedy
4,4.988203,Epsilon-Greedy
4,2.847435,Epsilon-Greedy
4,2.499232,Epsilon-Greedy
4,3.960364,Epsilon-Greedy
4,3.465337,Epsilon-Greedy
4,3.585468,Epsilon-Greedy
4,4.080199,Epsilon-Greedy
4,3.10688,Epsilon-Greedy
4,3.665183,Epsilon-Greedy
4,4.549576,Epsilon-Greedy
4,2.729128,Epsilon-Greedy
4,6.389036,Epsilon-Greedy
4,5.843414,Epsilon-Greedy
4,4.015143,Epsilon-Greedy
4,4.442074,Epsilon-Greedy
4,3.555501,Epsilon-Greedy
4,2.330868,Epsilon-Greedy
4,3.228181,Epsilon-Greedy
4,5.661302,Epsilon-Greedy
4,4.317767,Epsilon-Greedy
4,2.387773,Epsilon-Greedy
4,4.377296,Epsilon-Greedy
4,5.651351,Epsilon-Greedy
4,3.269259,Epsilon-Greedy
4,2.72008,Epsilon-Greedy
4,3.762608,Epsilon-Greedy
4,5.872006,Epsilon-Greedy
4,2.705058,Epsilon-Greedy
4,3.894881,Epsilon-Greedy
4,5.543068,Epsilon-Greedy
4,5.323264,Epsilon-Greedy
4,4.058509,Epsilon-Greedy
4,6.347997,Epsilon-Greedy
4,3.797542,Epsilon-Greedy
4,4.060897,Epsilon-Greedy
